anime_id,name,genre,type,rating,sentiment,emotion
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.75,Positive,neutral
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,8.74,Positive,sadness
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,8.73,Positive,neutral
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,8.73,Positive,neutral
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,8.72,Positive,neutral
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,8.71,Positive,neutral
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,8.71,Positive,sadness
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,8.69,Positive,neutral
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,8.68,Positive,neutral
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,8.68,Positive,neutral
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,8.68,Positive,sadness
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,8.68,Positive,neutral
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.67,Positive,neutral
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,8.67,Positive,neutral
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,8.66,Positive,trust
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,8.65,Positive,neutral
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,8.65,Positive,neutral
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,8.64,Positive,neutral
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,8.64,Positive,neutral
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,8.64,Positive,neutral
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,8.64,Positive,neutral
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,8.64,Positive,neutral
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.64,Positive,neutral
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,8.62,Positive,neutral
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,8.62,Positive,neutral
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,8.61,Positive,neutral
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,8.61,Positive,sadness
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,8.61,Positive,sadness
32995,Yuri!!! on Ice,"Comedy, Sports",TV,8.61,Positive,neutral
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,8.6,Positive,neutral
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,8.6,Positive,neutral
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,8.59,Positive,neutral
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,8.59,Positive,neutral
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,8.59,Positive,sadness
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,8.59,Positive,neutral
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,8.59,Positive,neutral
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,8.58,Positive,sadness
578,Hotaru no Haka,"Drama, Historical",Movie,8.58,Positive,sadness
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,8.58,Positive,neutral
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,8.58,Positive,neutral
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,8.58,Positive,neutral
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,8.57,Positive,neutral
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,8.57,Positive,neutral
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,8.57,Positive,neutral
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,8.57,Positive,neutral
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,8.56,Positive,sadness
10162,Usagi Drop,"Josei, Slice of Life",TV,8.56,Positive,sadness
18617,Girls und Panzer der Film,"Military, School",Movie,8.55,Positive,neutral
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,8.55,Positive,neutral
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,8.55,Positive,neutral
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,8.54,Positive,neutral
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,8.54,Positive,neutral
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,8.54,Positive,sadness
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,8.53,Positive,neutral
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,8.53,Positive,neutral
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,8.53,Positive,neutral
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,8.53,Positive,neutral
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,8.53,Positive,neutral
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,8.53,Positive,neutral
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,8.52,Positive,neutral
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,8.51,Positive,neutral
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,8.51,Positive,neutral
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,8.51,Positive,neutral
10165,Nichijou,"Comedy, School, Slice of Life",TV,8.52,Positive,neutral
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,8.5,Positive,neutral
22789,Barakamon,"Comedy, Slice of Life",TV,8.5,Positive,neutral
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,8.5,Positive,neutral
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,8.5,Positive,neutral
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.5,Positive,neutral
11917,Major: World Series,"Comedy, Drama, Sports",OVA,8.5,Positive,neutral
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,8.5,Positive,neutral
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,8.5,Positive,sadness
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,8.49,Positive,neutral
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.49,Positive,neutral
7655,Major S6,"Comedy, Drama, Sports",TV,8.49,Positive,neutral
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,8.49,Positive,neutral
25835,Shirobako,"Comedy, Drama",TV,8.49,Positive,neutral
2921,Ashita no Joe 2,"Drama, Sports",TV,8.48,Positive,sadness
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,8.48,Positive,neutral
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,8.48,Positive,neutral
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,8.48,Positive,sadness
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,8.48,Positive,sadness
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,8.47,Positive,sadness
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,8.47,Positive,sadness
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,8.47,Positive,sadness
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,8.47,Positive,sadness
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,8.47,Positive,neutral
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,8.46,Positive,neutral
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,8.46,Positive,sadness
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,8.46,Positive,neutral
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,8.46,Positive,neutral
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,8.45,Positive,neutral
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,8.46,Positive,sadness
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,8.45,Positive,neutral
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,8.45,Positive,sadness
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,8.45,Positive,neutral
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,8.45,Positive,neutral
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,8.45,Positive,neutral
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,8.44,Positive,neutral
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,8.44,Positive,neutral
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,8.43,Positive,neutral
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,8.43,Positive,neutral
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,8.43,Positive,neutral
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,8.42,Positive,neutral
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,8.42,Positive,neutral
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,8.42,Positive,neutral
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,8.42,Positive,neutral
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,8.42,Positive,sadness
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,8.42,Positive,neutral
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.42,Positive,trust
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,8.41,Positive,neutral
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8.41,Positive,neutral
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,8.41,Positive,sadness
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,8.41,Positive,anger
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,8.41,Positive,neutral
5040,One Outs,"Psychological, Seinen, Sports",TV,8.41,Positive,neutral
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,8.4,Positive,neutral
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,8.4,Positive,neutral
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,8.4,Positive,neutral
1842,Major S3,"Drama, Shounen, Sports",TV,8.4,Positive,neutral
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,8.4,Positive,neutral
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,8.4,Positive,neutral
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,8.4,Positive,neutral
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,8.4,Positive,neutral
13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,8.4,Positive,neutral
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,8.39,Positive,neutral
5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,8.39,Positive,neutral
32867,Bungou Stray Dogs 2nd Season,"Mystery, Seinen, Supernatural",TV,8.39,Positive,neutral
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",Special,8.39,Positive,trust
12859,One Piece Film: Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.39,Positive,neutral
853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,8.39,Positive,neutral
5460,Detective Conan Movie 13: The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,8.38,Positive,neutral
6746,Durarara!!,"Action, Mystery, Supernatural",TV,8.38,Positive,neutral
5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,8.38,Positive,neutral
329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,8.38,Positive,neutral
34240,Shelter,"Music, Sci-Fi",Music,8.38,Positive,neutral
513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,8.38,Positive,sadness
6945,Gintama: Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,8.37,Positive,neutral
1142,Hachimitsu to Clover II,"Drama, Josei, Romance",TV,8.37,Positive,neutral
6811,InuYasha: Kanketsu-hen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,8.37,Positive,neutral
16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,8.37,Positive,sadness
1604,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,8.37,Positive,neutral
22145,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,8.37,Positive,neutral
2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,8.37,Positive,neutral
31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,8.36,Positive,trust
19363,Gin no Saji 2nd Season,"Comedy, School, Shounen, Slice of Life",TV,8.36,Positive,neutral
18195,Little Busters!: Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,8.36,Positive,neutral
9890,Major: Message,"Comedy, Drama, Sports",OVA,8.36,Positive,neutral
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,8.36,Positive,neutral
9863,SKET Dance,"Comedy, School, Shounen",TV,8.36,Positive,neutral
7674,Bakuman.,"Comedy, Romance, Shounen",TV,8.35,Positive,neutral
11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,8.35,Positive,sadness
16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,8.35,Positive,sadness
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"Fantasy, Slice of Life, Supernatural",Movie,8.35,Positive,neutral
3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,8.35,Positive,neutral
21557,Omoide no Marnie,"Drama, Mystery, Psychological",Movie,8.35,Positive,sadness
31715,Working!!!: Lord of the Takanashi,"Comedy, Romance, Slice of Life",Special,8.34,Positive,neutral
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,8.34,Positive,sadness
9617,K-On! Movie,"Comedy, Music, Slice of Life",Movie,8.34,Positive,neutral
31051,Kuroko no Basket: Saikou no Present Desu,"Action, School, Shounen, Sports",Special,8.34,Positive,sadness
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"Action, Comedy, Drama, Magic, Super Power",Movie,8.34,Positive,neutral
1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,8.34,Positive,neutral
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"Sci-Fi, Thriller",Special,8.34,Positive,sadness
3091,xxxHOLiC Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,8.34,Positive,neutral
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,8.33,Positive,neutral
28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,8.33,Positive,sadness
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,8.33,Positive,neutral
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,8.33,Positive,neutral
138,Hunter x Hunter: Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8.33,Positive,sadness
6675,Redline,"Action, Cars, Sci-Fi, Sports",Movie,8.33,Positive,neutral
10800,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,8.32,Positive,neutral
32005,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,8.32,Positive,neutral
813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,8.32,Positive,neutral
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,8.32,Positive,neutral
28725,Kokoro ga Sakebitagatterunda.,"Drama, Romance, School",Movie,8.32,Positive,neutral
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,8.32,Positive,neutral
16067,Nagi no Asukara,"Drama, Fantasy, Romance",TV,8.32,Positive,sadness
30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,8.32,Positive,neutral
31490,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,8.32,Positive,neutral
759,Tokyo Godfathers,"Comedy, Drama",Movie,8.32,Positive,neutral
6,Trigun,"Action, Comedy, Sci-Fi",TV,8.32,Positive,neutral
6864,xxxHOLiC Rou,"Mystery, Supernatural",OVA,8.32,Positive,neutral
9735,Gintama: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,8.31,Positive,neutral
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,8.31,Positive,neutral
11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,8.31,Positive,neutral
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,8.31,Positive,joy
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"Comedy, Romance, School",OVA,8.31,Positive,joy
962,Aria The Natural,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,8.3,Positive,trust
1519,Black Lagoon: The Second Barrage,"Action, Seinen",TV,8.3,Positive,neutral
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,8.3,Positive,neutral
16706,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,8.3,Positive,neutral
5681,Summer Wars,"Comedy, Sci-Fi",Movie,8.3,Positive,sadness
3901,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,8.29,Positive,neutral
6467,Detective Conan Movie 14: The Lost Ship in the Sky,"Action, Mystery, Police, Shounen",Movie,8.29,Positive,neutral
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,"Game, Psychological, Seinen, Thriller",TV,8.29,Positive,neutral
22507,Initial D Final Stage,"Cars, Seinen, Sports",TV,8.29,Positive,neutral
3701,Kaiba,"Adventure, Mystery, Romance, Sci-Fi",TV,8.29,Positive,neutral
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,8.29,Positive,neutral
33255,Saiki Kusuo no Ψ-nan (TV),"Comedy, School, Shounen, Supernatural",TV,8.29,Positive,neutral
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,8.28,Positive,neutral
265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Shounen, Sports",OVA,8.28,Positive,neutral
25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",TV,8.28,Positive,neutral
4722,Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,8.28,Positive,neutral
24277,Yowamushi Pedal: Grande Road,"Comedy, Drama, Shounen, Sports",TV,8.28,Positive,neutral
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,8.27,Positive,neutral
512,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,8.27,Positive,sadness
4477,Nodame Cantabile: Paris-hen,"Comedy, Josei, Music, Romance, Slice of Life",TV,8.27,Positive,neutral
15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,8.27,Positive,neutral
31174,Osomatsu-san,"Comedy, Parody",TV,8.27,Positive,neutral
23327,Space☆Dandy 2nd Season,"Comedy, Sci-Fi, Space",TV,8.27,Positive,neutral
5365,Tsumiki no Ie,Drama,Movie,8.27,Positive,sadness
3702,Detroit Metal City,"Comedy, Music",OVA,8.26,Positive,neutral
3167,Eve no Jikan,"Sci-Fi, Slice of Life",ONA,8.26,Positive,sadness
7465,Eve no Jikan (Movie),"Sci-Fi, Slice of Life",Movie,8.26,Positive,sadness
7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,8.26,Positive,neutral
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,"Adventure, Sci-Fi, Shounen",OVA,8.26,Positive,neutral
23283,Zankyou no Terror,"Psychological, Thriller",TV,8.26,Positive,anger
